f1_qrtr_med,f1_midpt_med,f1_thrqrtr_med,f2_qrtr_med,f2_midpt_med,f2_thrqrtr_med,f3_qrtr_med,f3_midpt_med,f3_thrqrtr_med,spkr,age_yrs,Phone,Word,trackable,task,t1,t2_ph,next_ph,prev_ph,qrtr_sec,midpt_sec,thrqrtr_sec,qrtr_sec_ifc,midpt_sec_ifc,thrqrtr_sec_ifc,qrtr_sec_ac,midpt_sec_ac,thrqrtr_sec_ac,f4_qrtr_med,f4_midpt_med,f4_thrqrtr_med,year,MAD_F1,MAD_F2,MAD_F3,MAD_F4,F1_upper,F1_lower,F2_upper,F2_lower,F3_upper,F3_lower,F4_upper,F4_lower,f1_midpt_med_clean,f2_midpt_med_clean,f3_midpt_med_clean,f4_midpt_med_clean,deltaf,vtl,phar_length,a_ratiof1f2,a_ratiof2f3,i_ratiof1f2,i_ratiof2f3,u_ratiof2f3,u_ratiof1f3
262.5042747,249.1843603,235.560903,2614.938963,3245.860059,3095.777479,3377.788936,3531.734474,4418.381385,1,10,i,t'ika,USE,quechua,247.5574,247.6074,k,t',247.5725,247.5825,247.5925,247.565,247.585,247.595,247.57449,247.58449,247.59449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,249.1843603,3245.860059,3531.734474,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
283.8599216,277.6212272,266.8107499,1202.394392,1252.920094,1283.223705,3842.466461,3858.732902,3847.236463,1,10,u,punku,USE,quechua,199.8357,199.9158416,n,p,199.8525,199.8725,199.8925,199.855,199.875,199.895,199.85449,199.87449,199.89449,,,,2018,31.00707979,60.98181098,237.718422,,391.5564554,205.5139766,1412.663509,1046.772643,4571.888168,3145.577636,,,277.6212272,1252.920094,3858.732902,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
308.1713227,293.0891134,287.7003689,1112.629275,1229.718076,1546.358012,2720.033095,4074.192215,3900.816706,1,10,u,punchu,USE,quechua,213.5379212,213.6301816,n,p,213.5625,213.5825,213.6025,213.565,213.585,213.605,213.56449,213.58449,213.60449,,,,2018,31.00707979,60.98181098,237.718422,,391.5564554,205.5139766,1412.663509,1046.772643,4571.888168,3145.577636,,,293.0891134,1229.718076,4074.192215,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
308.814163,298.535216,273.4054148,841.0941954,923.1617423,868.1915488,2570.822798,3779.145872,3853.853744,1,10,u,punku,USE,quechua,197.3568929,197.4271,n,p,197.3725,197.3925,197.4125,197.375,197.395,197.405,197.37449,197.39449,197.41449,,,,2018,31.00707979,60.98181098,237.718422,,391.5564554,205.5139766,1412.663509,1046.772643,4571.888168,3145.577636,,,298.535216,,3779.145872,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
326.9473238,294.5966096,289.8240919,2050.821117,2173.595299,2184.215621,3126.484878,3185.590781,4140.329664,1,10,i,q'epi-pi,USE,quechua,335.9984,336.0884,p,p,336.0225,336.0425,336.0625,336.025,336.045,336.065,336.02449,336.04449,336.06449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,294.5966096,2173.595299,3185.590781,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
346.026369,354.1873495,357.7778484,2244.96986,2257.437002,2209.380528,4091.673432,4021.976663,4043.103857,1,10,i,api-pi,USE,quechua,344.5011841,344.5593,p,p,344.5125,344.5325,344.5425,344.515,344.535,344.545,344.51449,344.53449,344.54449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,354.1873495,2257.437002,4021.976663,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
358.9456991,344.1727287,298.0262724,1623.038669,1618.119978,1625.079784,3969.450641,4019.071781,4274.200724,1,10,u,runtu,USE,quechua,292.3211,292.3711,n,r,292.3325,292.3425,292.3625,292.335,292.345,292.355,292.33449,292.34449,292.35449,,,,2018,31.00707979,60.98181098,237.718422,,391.5564554,205.5139766,1412.663509,1046.772643,4571.888168,3145.577636,,,344.1727287,,4019.071781,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
379.4142283,480.6503304,468.1,2331.28661,2593.371637,2556.879506,4230.178153,3308.051835,3302.983665,1,10,i,q'epi-pi,USE,quechua,338.8315,338.9315,p,p,338.8525,338.8825,338.9025,338.855,338.885,338.905,338.85449,338.88449,338.90449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,480.6503304,2593.371637,3308.051835,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
391.2587583,411.8483613,401.1670449,2407.417027,2457.858293,2365.782483,3360.6,3405.761944,3356.275579,1,10,i,api-pi,USE,quechua,183.6082503,183.6712,p,p,183.6225,183.6425,183.6525,183.625,183.635,183.655,183.62449,183.64449,183.65449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,411.8483613,2457.858293,3405.761944,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
396.8033476,334.9056006,278.9920565,3024.822457,3021.443197,2857.478206,3582.400374,3637.953601,3695.221559,1,10,i,t'ika,USE,quechua,113.0037,113.1037,k,t',113.0325,113.0525,113.0825,113.025,113.055,113.075,113.02449,113.05449,113.07449,,,,2018,69.96656809,417.7854893,189.2869928,,566.0022456,146.2028371,3981.863583,1475.150646,4054.463165,2918.741209,,,334.9056006,3021.443197,3637.953601,,1182.361733,14.37800254,9.439173827,0.382325123,0.371486054,0.13317243,0.768479802,0.32851776,0.086059594
