"","spkr","age_yrs","gender","Phone","Word","f1_midpt_med_clean","f2_midpt_med_clean","f3_midpt_med_clean","f4_midpt_med_clean","deltaf","vtl","a_ratiof1f2","a_ratiof2f3"
"1","a1","adult","female","i","t'ika",408.3196795,2419.636957,3024.193017,4402.936479,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"2","a1","adult","female","i","api-pi",309.8302008,2141.039422,2856.222214,3745.363429,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"3","a1","adult","female","i","t'ika",362.2343227,2520.177447,2846.920242,4526.650213,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"4","a1","adult","female","u","punku",299.2010352,746.1159557,2980.072622,4086.983367,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"5","a1","adult","female","u","punku",375.2245193,787.2228894,2919.932,3819.454497,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"6","a1","adult","female","o","p'esqo-pi",434.8622937,765.5362526,2880.711919,3851.608043,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"7","a1","adult","female","u","sunkha",284.516147,769.1674141,2927.846012,4352.628497,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"8","a1","adult","female","i","q'epi-pi",393.4454858,2232.17494,2896.364956,4053.798567,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"9","a1","adult","female","e","p'esqo",379.3987296,1942.987093,2888.107864,4186.630352,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"10","a1","adult","female","i","t'ika",NA,1958.492882,NA,4187.832531,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"11","a1","adult","female","e","p'esqo",399.1670198,2126.647253,2943.3539,4399.267712,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"12","a1","adult","female","i","t'ika",378.1152889,2405.915235,2901.179612,4438.573289,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"13","a1","adult","female","u","sunkha",289.1627614,701.0808727,2964.704571,3792.615159,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"14","a1","adult","female","i","api-pi",379.0077054,2159.848167,2934.699287,3880.969361,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"15","a1","adult","female","i","api-pi",349.5661915,2217.130045,2909.9,3905.464069,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"16","a1","adult","female","o","qolqe",583.0975247,1059.949013,2778.159875,4362.846499,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"17","a1","adult","female","o","alqo-pi",520.5896068,795.4834912,2702.803982,3790.13085,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"18","a1","adult","female","o","alqo-pi",399.831449,807.7307119,NA,4396.292771,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"19","a1","adult","female","i","t'ika",410.5045611,2479.029694,2857.860447,4366.316579,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"20","a1","adult","female","e","p'esqo",427.7122933,2090.965786,2984.553621,4341.28501,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"21","a1","adult","female","i","t'ika",417.7390702,2420.115283,2835.927041,4375.557166,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"22","a1","adult","female","e","p'esqo",418.8485637,2103.648004,2916.528178,4357.072587,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"23","a1","adult","female","o","p'esqo-pi",458.2403309,858.9508083,2902.881246,3626.144381,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"24","a1","adult","female","u","runtu",549.5,NA,NA,4250.19772,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"25","a1","adult","female","u","runtu",531,NA,3044.680406,4406.174674,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"26","a1","adult","female","o","p'esqo-pi",451.3824038,878.9843533,2890.524664,4365.05388,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
"27","a1","adult","female","o","p'esqo-pi",485.25892,996.4584364,2773.718763,4163.895762,1082.70572394852,15.7014040140128,0.507442217851342,0.582826655004037
